"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jan 16 13:09:58 IST 2022","Sun Jan 16 13:10:02 IST 2022","3910","","lucaFamiliesModuleTests: Perform Batch Action Add Fee on Specific Months on Several Families And Students","","lucaFamiliesModuleTests: Perform Batch Action Add Fee on Specific Months on Several Families And Students","should select Apply fee","should select Apply fee",""
"passed","Sun Jan 16 13:18:34 IST 2022","Sun Jan 16 13:18:36 IST 2022","1544","","lucaEnrollment: Enroll new Pending family and Verify links ","","lucaEnrollment: Enroll new Pending family and Verify links ","should input account Name","should input account Name",""
"passed","Sun Jan 16 14:15:34 IST 2022","Sun Jan 16 14:15:46 IST 2022","11754","","lucaFamiliesModuleTests: Apply fee towards family","","lucaFamiliesModuleTests: Apply fee towards family","should input a correct ammount inside the input field and then click submit again","should input a correct ammount inside the input field and then click submit again",""
"failed","Sun Jan 16 13:38:59 IST 2022","Sun Jan 16 13:39:20 IST 2022","20809","","lucaFeesAndDiscountsTests: Verifying Drag and Drop Functionality for Fees and Discounts","","lucaFeesAndDiscountsTests: Verifying Drag and Drop Functionality for Fees and Discounts","should input the newly created Discount name in the filter","should input the newly created Discount name in the filter",""
"failed","Sun Jan 16 12:57:22 IST 2022","Sun Jan 16 12:57:28 IST 2022","5818","","homepageTests: EWS Authentification Verification test cases","","homepageTests: EWS Authentification Verification test cases","should click on continue button","should click on continue button",""
"passed","Sun Jan 16 12:54:37 IST 2022","Sun Jan 16 12:54:38 IST 2022","905","","homepageTests: Enrollment with Credit Card entry","","homepageTests: Enrollment with Credit Card entry","should input different billing street address","should input different billing street address",""
"passed","Sun Jan 16 13:43:43 IST 2022","Sun Jan 16 13:43:45 IST 2022","2649","","lucaBuyNowGiveNowTests: Buy Now Give Now settings","","lucaBuyNowGiveNowTests: Buy Now Give Now settings","should click Off button in order to turn On the BN Global settings","should click Off button in order to turn On the BN Global settings",""
"passed","Sun Jan 16 14:23:54 IST 2022","Sun Jan 16 14:23:58 IST 2022","3981","","Luca Settings: Manage Payment Plans tests, API_003","","Luca Settings: Manage Payment Plans tests, API_003","should select the latest school year","should select the latest school year",""
"passed","Sun Jan 16 12:56:56 IST 2022","Sun Jan 16 12:56:57 IST 2022","966","","externalTests: Verify that External Registration creates family correctly for Basis Independent Schools","","externalTests: Verify that External Registration creates family correctly for Basis Independent Schools","should should input new value into the set Address Line1 field","should should input new value into the set Address Line1 field",""
"passed","Sun Jan 16 13:34:17 IST 2022","Sun Jan 16 13:34:19 IST 2022","2028","","lucaFeesAndDiscountsTests: Add Discount Verification, check filter Criteria","","lucaFeesAndDiscountsTests: Add Discount Verification, check filter Criteria","should add General Ledger Id for the fee","should add General Ledger Id for the fee",""
"passed","Sun Jan 16 12:55:32 IST 2022","Sun Jan 16 12:55:34 IST 2022","1992","","homepageTests: Enrolling New Family with Credit Card","","homepageTests: Enrolling New Family with Credit Card","should verify results are shown","should verify results are shown",""
"passed","Sun Jan 16 13:29:35 IST 2022","Sun Jan 16 13:29:39 IST 2022","3712","","Main Landing Page, Switching School Year Verification ","","Main Landing Page, Switching School Year Verification ","should verify that the notes upload Page has been reached","should verify that the notes upload Page has been reached",""
"passed","Sun Jan 16 13:28:20 IST 2022","Sun Jan 16 13:28:24 IST 2022","3682","","Main Landing Page, Verify Families + Discounts Menu Accessibility","","Main Landing Page, Verify Families + Discounts Menu Accessibility","should verify that the Manage Families has been reached","should verify that the Manage Families has been reached",""
"passed","Sun Jan 16 13:32:04 IST 2022","Sun Jan 16 13:32:05 IST 2022","1127","","lucaFeesAndDiscountsTests: Add Discount Verification","","lucaFeesAndDiscountsTests: Add Discount Verification","should input password","should input password",""
"failed","Sun Jan 16 14:32:49 IST 2022","Sun Jan 16 14:33:00 IST 2022","10856","","lucaChangePaymentPlans: Change Payment Plan module, Payment Plan Discount Tests","","lucaChangePaymentPlans: Change Payment Plan module, Payment Plan Discount Tests","should values are displayed evenly","should values are displayed evenly",""
"passed","Sun Jan 16 13:24:23 IST 2022","Sun Jan 16 13:24:28 IST 2022","5147","","lucaBillingTests: Verify Applicable Not applicable Fees","","lucaBillingTests: Verify Applicable Not applicable Fees","should remove newly added fees, for both students","should remove newly added fees, for both students",""
"passed","Sun Jan 16 13:43:54 IST 2022","Sun Jan 16 13:43:56 IST 2022","2065","","lucaBuyNowGiveNowTests: Buy Now Give Now settings","","lucaBuyNowGiveNowTests: Buy Now Give Now settings","should input the Buy Now School Footer Message to max length","should input the Buy Now School Footer Message to max length",""
"passed","Sun Jan 16 13:28:38 IST 2022","Sun Jan 16 13:28:39 IST 2022","1130","","Main Landing Page, Verify Presence of Elements in Top Menu Bar","","Main Landing Page, Verify Presence of Elements in Top Menu Bar","should click on Manage SSO","should click on Manage SSO",""
"passed","Sun Jan 16 13:32:23 IST 2022","Sun Jan 16 13:32:24 IST 2022","1796","","Main Landing Page, Verify that two families can be merged","","Main Landing Page, Verify that two families can be merged","should input correct password","should input correct password",""
